fname,summary
test_30,"폴리 씨는 끔찍한 일에서 벗어나고 싶어합니다. #Person1#은 그에게 음료를 사다 달라고 요청하지만, 현금이 네 개밖에 없습니다."
test_31,모니카는 프란시스에게 금요일 오후에 재무 보고서를 작업하도록 요청합니다.
test_32,#Person1#은 다음 주에 있을 면접을 준비하기 위해 #Person2#의 워크숍에서 인터뷰를 하고 있습니다.
test_33,"마이크는 #Person1#에게 제이슨과 로라의 반응이 분노와 슬픔을 동시에 느끼는 것 같다고 말하고, 그가 대사를 말하면서 어떤 느낌이는지 확인해 보라고 조언한다."
test_34,#Person1#은 토드 부인에게 그녀의 아내가 쇼핑하러 오기를 기다리고 있다고 말한다. 그들은 정원에 있는 제인을 보기로 한다.
test_35,빌은 피곤해서 얼굴이 창백해 보인다. #Person2#는 오늘 집에 가서 좀 쉬어야 한다고 제안한다.
test_36,사이먼은 내일 핵무기 확산 막기 위한 시위에 가는 것을 반대한다. 그녀는 그것이 평화로운 일이라고 생각하고 물리학 시험 공부를 할 계획이다.
test_37,#Person1#은 예상치 못한 사람을 들여보내는 것이 #Person2#의 잘못이라고 생각합니다.
test_38,매기는 마크의 역사 과목 노트를 빌리려고 한다. 메기는마크가 수업 시작하고 30분 후면 졸리고 눈 뜨는 것이 힘들다고 생각하기 때문에 함께 공부할 사람을 찾고 싶어한다.
test_39,"#Person2#는 버먼 교수님의 강의를 듣고 싶어합니다. #Person1#은 #Person2#가 학점을 쉽게 받으려고 하는 학생이 아니라고 생각하고, 그에게 등록하도록 허락할 것입니다."
test_40,#Person2#는 #Person1#의 펜던트를 새 것으로 교체해줍니다.
test_41,#Person2#는 경기를 보려고 하지만 #Person1#은 #Person2#가 계속 옷 얘기만 한다고 생각한다. 그들은 결국 바보 같은 게임을 하게 된다.
test_42,"#Person2#는 #Person1#에게 미디어 쪽에서 일하는 것을 제안한다. 그들은 뉴스를 감독하거나, 글쓰는 등의 선택지를 가지고 있다."
test_43,#Person1#과 #Person2#는 지루한 연설에 대해 이야기하고 있다. #Person1#은 신문을 읽고 만화 섹션도 읽으라고 제안한다.
test_44,사라는 이사할 형편이 못 된다. #Person1#은 더 저렴한 집을 찾는 방법을 제안하고 #Person2#에게 그 집의 상태가 좋지 않지만 이웃들이 돌봐주기 때문에 괜찮다고 말한다.
test_45,마크 리치가 #Person1#에게 브리튼 비즈니스 센터의 정보 담당관인 마크를 소개합니다. 그는 해외에서 온 방문객들을 대상으로 하는 관광 서비스와 영국을 2주 동안 여행하고 싶다면 어떻게 해야 하는지 제안합니다
test_46,"린팡은 루시가 영어를 가장 좋아하는 이유는 쉽게 느끼기 때문이라고 생각하지만, 루시의 두 번째 선호 과목인 수학과 체육에 대해선 전혀 관심이 없다."
test_47,"제임스는 토마스 부인에게 마당에 낙엽을 치웠고, 앞 계단과 쓰레기를 청소했다고 말한다. 제임스의 개 오스카도 산책시켰다."
test_48,#Person1#과 #Person2#는 봄이 왔지만 밤에는 여전히 춥다고 생각합니다. #Person1#은 에어컨을 켜서 따뜻한 공기를 공급하고 싶어합니다
test_49,마이크는 #Person1#에게 제이슨과 로라가 그의 감정을 표현하는 데 도움이 되지 않을 것이라고 말한다.
test_50,#Person1#은 택시를 타고 프렌드십 호텔로 갑니다. #Person2#는 #Person1#에게 요금을 알려줍니다.
test_51,#Person1#은 돈이 없어서 다른 버스를 타야 합니다. #Person2#는 #Person1#에게 환승을 요청하라고 말합니다.
test_52,#Person2#는 #Person1#에게 여기서 시내까지 차로 15분 정도 걸린다고 말합니다. #Person2#의 회사 건물은 7층에 위치해 있습니다.
test_53,#Person1#은 #Person2#에게 루루와 빅이 헤어졌으며 그들이 전근을 요청했다고 말한다.
test_54,데이브가 샐리에게 짐과 통화할 수 있도록 전화를 걸었지만 샐리는 아직 돌아오지 않았다. 데이브는 나중에 다시 연락하겠다고 한다.
test_55,#Person2#는 #Person1#에게 시청으로 가는 방법을 알려줍니다.
test_56,"#Person1#은 여권을 반납한 사람이 있는지 궁금해합니다. #Person2#는 #Person1#에게 분실물 신고서를 작성하라고 요청하고, 대사관에 연락해보라고 조언합니다"
test_57,레아가 나다니엘에게 콜린스 선생님이 다음 주까지 다시 전화를 받지 못할 것이라고 말한다. 그녀는 다른 사람과 약속을 잡기 위해 오늘 오후 2시 15분에 폰다 씨와 통화할 예정이다.
test_58,#Person1#은 #Person2#에게 사라는 딕 외의 남자와 결혼하지 않겠다고 말한 것이 무서웠다고 말한다.
test_59,"#Person1#과 #Person2#는 파티를 즐기고 있다. 그들은 여자와 말을 거는 것에 대해 긴장하고 있고, #Person1#이 더 남자다워지기 위해 서둘러야 한다고 생각한다."
test_60,"잭은 #Person1#에게 정치학 수업이 가장 좋았고, 비즈니스 커뮤니케이션 과목도 좋았다고 말했다."
test_61,#Person2#는 #Person1#에게 어제 밤에 비가 와서 베이징이 좋지 않았다고 말합니다. 하지만 오늘 늦게 다시 눈이 올 수도 있습니다.
test_62,"#Person2#는 #Person1#에게 오늘 밤에 전쟁 영화를 보러 가자고 제안하지만, 그들은 서로 다른 생각을 가지고 있다."
test_63,"#Person1#은 아담에게 학교 구경을 시켜주고 가장 높은 건물과 도서관, 그리고 수영장이 있는 고등학교를 소개합니다."
test_64,#Person1#은 #Person2#에게 #Person1#의 아기가 곧 태어날 것이라고 말한다.
test_65,#Person1#과 #Person2#는 존이 그녀와 일곱 번이나 만나는 것에 대해 이야기합니다.
test_66,"#Person2#는 시스템 업그레이드를 고려하고 있습니다. #Person1#은 #Person2#에게 소프트웨어에 페인팅 프로그램을 추가하고, 더 빠른 프로세서와 강력한 하드 디스크 및 CD-ROM 드라이브가 필요하다고 말합니다."
test_67,#Person2#는 중국에서 왔고 #Person1#은 멕시코 사람입니다. 그들은 서로의 나이에 대해 이야기합니다.
test_68,#Person1#의 체중이 또 증가했습니다. #Person2#는 #Person1#에게 식단 조절과 운동을 제안합니다.
test_69,제임스가 8인 룸을 예약하고 #Person1#에게 안내를 요청합니다.
test_70,#Person2#는 #Person1#에게 공장이 70년대 초에 설립되었으며 곧 30주년을 맞이하게 될 것이라고 말합니다.
test_71,레베카 님은 #Person1#에게 요크 헤럴드에서의 인턴 경험과 지역 뉴스 기자로서의 자리 선택에 대해 이야기합니다.
test_72,#Person1#과 #Person2#는 내일 그룹 발표를 하기 위해 문구점에 갈 예정입니다. 그들은 먼저 쇼핑 목록을 만들고 싶어합니다.
test_73,메리는 매일 인력시장에 가서 많은 에너지를 소비하고 있다. #Person1#은 그녀에게 인터넷에서 구직하는 것을 제안한다.
test_74,"#Person2#는 쇼핑 예산을 세우고 있고, #Person1#에게 #Person2#의 계획이 좋은 생각이라고 말합니다."
test_75,제인은 헨리에게 수잔을 보러 병원에 가는 중이라고 말한다. 헨리는 13번 버스를 타는 것이 더 좋다고 제안한다.
test_76,"#Person1#은 내년 판매 예측에 대해 #Person2#에게 이야기하고 싶지만 #Person1#의 스프레드시트를 어떻게 사용하는지 잘 모르기 때문에, 다음 화요일 오후 2시 30분과 만날 예정입니다."
test_77,#Person2#는 #Person1#에게 개인 투어 가이드 서비스인 '뉴욕의 친구'를 추천합니다.
test_78,"#Person2#는 #Person1#에게 이 회사가 어린이용 장난감을 생산하는 가장 크고 최고 중 하나이며, 영업 부서에서 일하고 싶다고 말합니다."
test_79,"#Person1#은 계약서를 서명하러 왔고, #Person2#는 #Person1#에게 수정이 필요한 부분을 확인해달라고 요청했습니다. 그들은 오늘 저녁에 계약서로서의 복사본을만들 예정입니다."
test_80,#Person1#이 ABC 렌트카 회사에 전화를 걸어 국경 근처에서 차량 사고가 났다고 말합니다. #Person2#는 구급차와 경찰을 불러달라고 요청합니다.
test_81,#Person2#는 #Person1#에게 학교 클리닉으로 가는 길을 알려줍니다.
test_82,#Person2#는 더 이상 참을 수 없어서 #Person1#에게 자신의 방을 바꿔달라고 요청합니다. #Person2#은 내일 아침에 단체 여행객이 떠난다고 알려줍니다.
test_83,#Person1#은 우 씨를 위한 연회에 초대하고 저녁 식사와 몇 가지 관광지를 준비해 줄 것입니다.
test_84,#Person2#는 #Person1#에게 리우 이창으로 가는 길을 알려줍니다.
test_85,#Person2#의 컴퓨터가 잘 작동하지 않는다. #Person1#은 수리공에게 전화해보라고 제안한다.
test_86,"#Person2#는 어머니의 생일 선물로 목걸이, 시계를 찾고 있습니다. #Person1#은 #Person2#에게 크고 명확한 숫자가 있는 금시계와 노인들이 좋아할 만한 것을 추천합니다."
test_87,"로스 씨가 그녀의 사무실에 와서 그에게 커피를 제공합니다. 로스씨는 아이들이 학교에서 어떻게 지내고 있는지 알고 싶어하며, 10월 24일 토요일 오전 11시부터 오후 2시까지 방을 사용하게 될 것이라고 말합니다."
test_88,"#Person2#는 #Person1#에게 러시아와 캐나다의 주요 차이점을 설명합니다. 그들은 사람들이 빠르게 말하고, 차를 너무 빨리 몰고 좋은 거래도 바로 지나가는 것에 대해 이야기하고 있습니다."
test_89,#Person2#는 #Person1#에게 카리브해로 여행을 가려고 생각하고 있다고 말합니다. 왜냐하면 그곳은 폭풍이 많이 일어나기 때문입니다.
test_90,#Person1#은 엄마에게 소풍 갈 때 먹을 과일을 요청합니다.
test_91,#Person1#은 내일 아침에 소형차를 렌트하려고 한다.
test_92,#Person1#과 #Person2#는 엘리베이터 안에서 미소를 짓는 사람들에 대해 이야기하고 있습니다.
test_93,#Person2#는 #Person1#에게 월리스의 기여와 새로운 마케팅 전략 덕분에 올해 성장률이 예상을 초과했다고 말합니다.
test_94,"#Person2#는 #Person1#에게 #Person2#의 가방을 잃어버렸다고 말한다. 그 이유는, 어제 택시를 타고 차 안에 두고 내렸기 때문이다."
test_95,"린은 스티븐에게 중국에서 팁을 어떻게 처리하는지 설명하고, 택시 기사와 짐꾼들은 미터기에 나온 금액만 지불하면 된다고 말합니다."
test_96,빌이 #Person1#에게 룸메이트인 브레인 로커에 대해 이야기한다.
test_97,"톰 윌슨이 청구서를 지불하려고 합니다. #Person2#는 그의 이름과 방 번호, 그리고 호텔 서비스에 대해 알려줍니다."
test_98,수잔이 캐롤린에게 전화를 걸어 파티에 대한 자세한 사항을 물어봅니다.
test_99,#Person1#과 #Person2#는 이전에 대화한 적이 있습니다. 그들은 다른 사람으로 착각했습니다.
test_100,"#Person2#는 #Person1#에게 트럼프가 다시 대통령이 되면 행복할 것이라고 말하고, 그를 위해 투표하지 않았다고 말합니다."
test_101,#Person2#는 #Person1#에게 ATM 사용법을 알려줍니다.
test_102,수잔 밀러가 존에게 사무 절차에 대한 메모의 복사본을 달라고 요청합니다.
test_103,#Person1#은 릴리에게 함께 소풍에 참여하도록 초대한다. 릴리는 편안한 옷과 걷기 좋은 신발을 준비할 것이다.
test_104,"#Person2#는 #Person1#에게 중국 테이블에서 식사하는 것이 #Person2#의 고향과 어느 정도로 다른지 설명합니다. 젓가락을 사용해야 하고, 절대로 그릇이나 접시 위에 가로로만 놓을 수 없습니다."
test_105,메리는 여가 시간에 영화를 보는 것을 좋아한다. 프랭크는 그 장르가 완전히 다르다고 생각하고 메리에게 무비 살롱의 회원이 되어보라고 제안한다.
test_106,#Person2#는 #Person1#에게 녹색당에 가입하는 것을 생각해 본 적이 있다고 말합니다.
test_107,#Person1#은 윌슨 씨에게 상품에서 실수를 한 것에 대해 사과하고 그 책임을 지겠다고 말합니다.
test_108,#Person2#는 #Person1#에게 강도를 보았고 그 남자가 혼자서 은행 안에 있었다고 말했다.
test_109,"#Person2#는 #Person1#에게 오늘 저녁은 각자 알아서 해야 하며, 그들은 예전의 전통을 되살리겠다고 했다."
test_110,캐롤이 #Person1#에게 다이어트를 시작하고 식습관을 바꾸기로 결정했다고 말한다.
test_111,"카렌 후앙이 비교문학 287 수업에 등록하고 싶어합니다. #Person1#은 그가 아직 학생이라는 것을 알지 못했지만, #Person2#에게 전화로 입학할 때 특별 코드를 줄 수 있다고 알려줍니다."
test_112,#Person2#는 #Person1#에게 우산을 빌려주고 가든 호텔로 같이 걸어가자고 제안한다.
test_113,데이지는 잭에게 자신의 새 차가 고속도로에서 빠르게 달릴 수 있다고 말한다.
test_114,"#Person2#는 #Person1#에게 큰 불이 밤에 일어났고, 그 시간은 대략 10시라고 말합니다."
test_115,"#Person2#는 남편이 계산을 하겠다고 해서 900위안으로 결제하려 했지만, #Person1#은 가게 규정 때문에 허용하지 않습니다."
test_116,#Person1#은 #Person2#가 차를 일반 세차 패키지로 구매하는 것을 도와줍니다.
test_117,"해리가 #Person1#에게 올해 휴가 계획에 대해 이야기합니다. 그는 바다를 통해 여행할 수도 있지만, 그것이 더 싸다고 말합니다."
test_118,"존슨은 웨이트를 해본 경험이 없다. #Person2#는 그에게 기계 사용법을 알려주고, 트레이너 카드로 시작 무게를결정하도록 요청한다."
test_119,"#Person1#과 #Person2# 모두 집세를 내기 위해 필요한 일이라면 무엇이든 할 생각이며, #Person1#은 면접을 보고 싶어한다."
test_120,"#Person2#는 강아지들에게 밥을 주었고, #Person1#은 그들을 목욕시키고 동물병원에 갈 예정입니다."
test_121,에이든은 집주인에게 200달러를 빚지고 있다. #Person2#는 그것을 도와주고 싶지만 돈이 부족하다.
test_122,#Person2#는 #Person1#에게 자선 단체에서의 경험이 #Person2#의 마음에 어떤 영향을 미쳤는지 설명합니다.
test_123,#Person2#는 #Person1#에게 전화나 이메일로 결정을 요청합니다.
test_124,#Person2#는 #Person1#에게 전형적인 중국 요리를 주문하는 것을 제안합니다.
test_125,댄이 안젤라에게 그녀의 친구가 다음 주에 결혼한다는 메시지를 받았다고 말한다. 안젤라는 메건을 만나러 갈 것이다.
test_126,"#Person2#는 #Person1#에게 전통 그리스 요구르트와 이탈리아 티라미수, 그리고 바나나 튀김을 가져올 것이라고 말한다."
test_127,"스미스 씨는 #Person1#에게 예일 대학교, 경제학 학사 학위를 가지고 있으며 지난 5년 동안 은행에서 일했다고 말했습니다."
test_128,"#Person1#은 #Person2#의 가게에서 디지털 바비를 구매하고, 그것을 #Person1#의조카가 좋아할 것이라고 생각한다. 그들은 세금 포함하여 $ 32.42에 카드로 결제할 예정이다."
test_129,#Person1#은 #Person2#가 조던 스포츠 신발 한 켤레를 구매하는 것을 도와줍니다.
test_130,#Person1#은 과학 박물관에 가고 싶어합니다. #Person2#는 #Person1#에게 티켓 기계를 어떻게 사용하는지 알려줍니다.
test_131,"사이먼은 #Person1#에게 은퇴 후의 생활에 대해 이야기하고, 단계적 퇴직 프로그램을 소개한다. 그는 행정 업무와 더 전문적인 일을 할 수 있으며 언제 일할지 거의 스스로 결정하고 회사도 유연성을얻는다."
test_132,"#Person1#은 로키에게 그녀가 지적인 여자를 원한다고 말한다. 로키는 집에 있는 것을 선호하며, 요리하고 청소하며 아이들을 돌보는 일을 한다."
test_133,#Person1#과 #Person2#는 어제 밤의 폭풍에 대해 이야기하고 있습니다. 그들은 날씨가 끔찍하다고 생각합니다.
test_134,"#Person1#은 TV를 보는 것이 지루하다고 생각한다. #Person2#는 #Person1#에게 밖에 나가는 게 더 나은 선택이라고 말하고, 함께 나눌 수 있는 방법을 제시하라고 제안한다"
test_135,"#Person1#은 벤에게 내일 수업을 준비하고 있다고 말하고, 그 전에 할 일을 소개한다."
test_136,#Person1#은 애덤에게 무릎이 훨씬 나아졌다고 말하고 던지기 연습을 하라고 제안한다. 그들은 미시간의 최근 세 경기 영상을보고 내일 전체 훈련에 참여할 예정이다.
test_137,#Person1#은 프린터가 고장나서 #Person2#에게 복사본을 출력해달라고 요청합니다.
test_138,#Person1#은 사다리를 잡고 있는 #Person2#에게 커튼을 걸어줄 것이다.
test_139,#Person1#은 잭에게 다음 주말에 캠핑 여행을 계획하고 있다고 말한다.
test_140,"#Person2#는 #Person1#에게 #Person2#가 임신했다는 것을 알리고, 검사 결과를 보여줍니다. 그들은 아기의 출생 시기에 대해 이야기합니다."
test_141,#Person2#는 자신의 딸이 대학을 결정하지 못하는 것에 대해 걱정하고 있습니다. #Person1#은 #Person2#에게 그녀가 스스로 선택하도록 격려하라고 제안합니다.
test_142,#Person1#은 투자 상담사로서 직장을 잃으면 생계를 유지하지 못하게 될 것에 대해 걱정하고 있다. #Person2#는 #Person1#에게 현실적으로 어떤 일이 일어날지 생각해보라고 조언한다.
test_143,#Person2#는 #Person1#에게 에든버러 대학교의 박사과정 학생인 교수가 #Person2#를 집에 머무르게 할 것이라고 말한다. 그들은 또한 멀티모달 텍스트 생성을 주제로 한 강연도 계획하고 있다.
test_144,#Person1#은 존의 집에 가자고 제안하지만 #Person2#는 아픈 사람이 있어서 거절한다.
test_145,파버 씨가 요크 호텔에 전화하여 3박 동안 더블 룸을 예약합니다.
test_146,"#Person1#은 혼자 살기 때문에 저렴한 단칸방, 연립 주택을 찾고 싶어합니다. #Person2#는 #Person1#에게 사우스 더비의 다른 사무실에서 일하는 친구 존 고드프리를 만날 수 있다고 말합니다."
test_147,#Person1#은 #Person2#가 경찰에게 돈을 주려고 하지 않았으면 이런 일이 일어나지 않았을 것이라고 생각한다. 왜냐하면 그들은 너무 늦었기 때문이다.
test_148,"댄이 달린에게 9월 10일에 주문한 100대의 컴퓨터가 2일이나 지연되었다고 전화합니다. #Person1#은 댄과 스티브의 번호를 교환하려고 하지만, 그들은 서로 다른 답변을 줍니다."
test_149,#Person2#는 #Person1#에게 워싱턴 포스트와 뉴욕 타임즈의 창립 연대를 알려준다.
test_150,#Person2#의 컴퓨터가 바이러스에 감염되어 이메일을 보낼 수 없다. #Person1#은 #Person2#에게 텍스트 포트 번호를 알려준다.
test_151,#Person2#는 #Person1#에게 주말을 즐겁게 보냈다고 말합니다.
test_152,#Person1#과 #Person2#는 무엇을 먹을지에 대해 이야기하고 있습니다. 그들은 판다 익스프레스를 가기로 결정했습니다.
test_153,메리는 톰이 판매 직원 자리를 다른 사람에게 제공하기로 결정했다는 것을 알고 싶어합니다.
test_154,#Person1#이 #Person2#에게 열 번째 전화를 합니다.
test_155,"#Person2#는 #Person1#에게 음악 선생님이 되고 싶다고 말하고, #Person2#의 관심사에 맞는 일을 하고 싶기 때문이라고 말합니다. 그 후 #Person3#은 클래식 연주를 어떻게 알게 되었는지 설명합니다."
test_156,"#Person2#는 #Person1#에게 오늘 #Person2#의 집 아래에 사는 여자를 만났다고 말하고, 그녀가 싱글이라는 것을 알게 되었다고 말합니다. 그들은 서로 잘 지내고 있는지 확인하기 위해 내일 저녁 식사 때 만날 예정입니다."
test_157,#Person1#은 미렐라가 사무실에서 집처럼 편안하게 지내기로 결정했다고 #Person2#에게 말한다. 이는 캘리포니아의 업무 분위기와 복장 스타일에 영향을 받았다.
test_158,#Person2#는 자신만의 법률 사무소를 세우고 싶어합니다. #Person1#은 #Person2#에게 도움을 청하고 있습니다.
test_159,피터가 케이트에게 밤새 온라인에 있었다고 말한다.
test_160,"#Person1#과 #Person2#는 배와 보트가 예전처럼 교통수단으로 중요하지 않다고 생각하지만, 사람들의 생활 속도와 선박 수에 대해 이야기합니다."
test_161,패니는 앤디에게 어제 밤에 악몽을 꿨다고 말한다. 그 후 그녀의 어머니가 도움을청하는 소리를 듣고 다시 잠들기가 무서워졌다.
test_162,#Person1#과 어니는 밴드 시작에 대해 이야기하고 있다. 그들은 바닐라 아이스의 노래를 연주할 것이다.
test_163,"#Person1#과 #Person2#는 뉴올리언스 여행을 즐기고 있습니다. 그들은 오늘 밤에 재즈 클럽, 강변 보트 투어 또는 생어 극장에서 저녁 식사를 할 예정입니다."
test_164,#Person2#는 #Person1#의 사이즈를 확인하고 신용카드로 결제합니다.
test_165,#Person1#은 블레이크 씨에게 훈련 매뉴얼을 그의 사무실에 가져다 달라고 요청했습니다.
test_166,데이비드가 #Person1#에게 이번 금요일에 롱아일랜드에서 출발하여 솔트레이크시티로 갈 계획이라고 말합니다. 그들은 현지 음식을 즐기고 관광도 할 예정입니다.
test_167,#Person2#는 #Person1#에게 파멜라가 #Person2#의 비행기를 호출하고 있다고 말한다. 그리고 그들은 그녀를 돌봐주기로 한다.
test_168,#Person2#는 #Person1#에게 77번 거리로 가는 버스를 어떻게 타야 하는지 알려줍니다.
test_169,#Person2#는 #Person1#에게 무슬림들이 적어도 한 번은 하지를 가야 한다고 말한다. 하지만 매년 너무 많은 사람이 그렇지 않은 경우보다 사고가 자주 발생한다.
test_170,#Person2#가 #Person1#에게 센트럴 백화점으로 가는 길을 알려줍니다.
test_171,#Person1#과 #Person2#는 런던에 가기 위해 기차를 타기로 결정한다.
test_172,톰은 점심이 최악이었다고 캐서린에게 말한다. 그는 패스트푸드가 건강에 좋지 않다고 생각하기 때문이다.
test_173,"#Person2#는 레모네이드와 바비큐 윙, 베이비 립을 주문했습니다."
test_174,"#Person2#는 #Person1#의 도움으로 더블 치즈버거, 용수철감자 라지 사이즈와 펩시콜라를 주문했습니다."
test_175,#Person2#는 #Person1#에게 프라이한 계란을 만들어 달라고 요청한다. 왜냐하면 #Person2#의 아빠가 매일 아침 스크램블 달걀만 드셨기 때문이다.
test_176,#Person1#은 #Person2#를 그랜드 호텔로 데려갑니다.
test_177,#Person1#은 아이들에게 미국 경찰이 어떻게 생겼는지 보여주기 위해 사진을 찍고 싶어합니다.
test_178,"#Person1#은 #Person2#에게 내일 모든 방이 예약 완료되었다고 알려주고, 선셋 호텔에 문의하라고 제안합니다."
test_179,"#Person2#는 #Person1#에게 미국에 공부하러 가기 위해 비자를 신청했다고 말합니다. #Person2#의 비자는 받기가 매우 어렵다고 말하고, 양식을 제대로 작성하지 않거나 필요한 서류들을 모두 내지 않기 때문이라고 설명합니다."
test_180,앤이 #Person1#에게 어제 밤새도록 웃고 이야기한 것에 대해 사과하고 내일 술집에서 만나자고 제안한다.
test_181,메리는 온라인 쇼핑이 편리하고 시간을 절약할 수 있다고 생각합니다. #Person1#은 지난 주에 옷 결제를 어떻게 해야 하는지 모르고 있었습니다.
test_182,#Person2#는 #Person1#에게 미국식 회계에 익숙하지 않다고 말합니다.
test_183,제인은 피터에게 시안에 갈 계획을 알려준다. 그들은 2주 동안 머무를 예정이며 비용이 2000위안 정도라고 말한다.
test_184,"#Person2#는 로맨스 영화를 대여하고 싶어합니다. #Person1#은 #Person2#에게 비디오 추적에 편리하다고 말하고 신작은 3.50달러, 5달러 딜이 있다고 말합니다."
test_185,#Person1#은 미스터 리를 찾고 있습니다. #Person2#는 #Person1#에게 서명하라고 요청합니다.
test_186,#Person2#는 #Person1#에게 공항이 폐쇄되었기 때문에 내일 아침까지 비행기가 뜨지 못한다고 말합니다.
test_187,#Person1#은 #Person2#에게 보답하기 위해 식사를 대접해야 합니다. 그들은 식당을 찾기로 결정했습니다.
test_188,"#Person2#는 성적에 대한 스트레스로 인해 잠이 잘 오지 않는다. #Person1#은 #Person2#에게 긴장을 풀라고 조언하고, 공부를 계속하는 것보다 편안한 음악 듣기를권장한다."
test_189,#Person1#은 #Person2#에게 주방을 완전히 새롭게 만들고 싶어한다고 말합니다.
test_190,월터와 스털링은 우드 교수님에 대해 이야기한다.
test_191,#Person2#는 #Person1#에게 검사 결과를 확인하기 위해 오후에 #Person2#의 남편과 함께 오라고 요청합니다.
test_192,마틴이 엘리자에게 다가오는 시험 준비에 대해 이야기합니다. 마틴은 돈을 벌기 위해 램 선생님께 감사하고 있습니다.
test_193,#Person2#는 #Person1#에게 20파운드의 특급 소포를 패키지 우편으로 보내달라고 요청합니다.
test_194,"#Person1#은 린다에게 휴대폰이 없다고 말한다. 린다는 결혼식에 가져갈 수도 있다고 생각하고, #Person1#의 여동생과 함께 전화할 것이다."
